iter	Passed	Remaining
0	47	47500
1	48	24318
2	50	16669
3	54	13643
4	58	11660
5	59	9932
6	62	8814
7	64	8056
8	72	7943
9	77	7675
10	82	7411
11	84	6974
12	92	7059
13	95	6751
14	97	6374
15	99	6136
16	102	5949
17	106	5828
18	110	5694
19	114	5610
20	115	5393
21	120	5339
22	122	5203
23	123	5029
24	126	4927
25	128	4822
26	130	4708
27	134	4675
28	137	4588
29	139	4521
30	142	4445
31	143	4352
32	148	4345
33	150	4271
34	152	4211
35	156	4198
36	163	4260
37	165	4180
38	167	4125
39	169	4062
40	170	3999
41	174	3985
42	175	3915
43	177	3852
44	178	3788
45	180	3750
46	183	3718
47	185	3680
48	190	3702
49	193	3669
50	194	3627
51	197	3598
52	198	3550
53	202	3552
54	210	3624
55	216	3649
56	219	3635
57	224	3646
58	226	3616
59	229	3598
60	234	3609
61	236	3582
62	238	3539
63	241	3533
64	246	3549
65	248	3514
66	250	3481
67	254	3488
68	258	3489
69	260	3459
70	262	3429
71	265	3421
72	271	3449
73	273	3419
74	279	3446
75	281	3420
76	284	3409
77	285	3376
78	288	3360
79	290	3336
80	291	3308
81	295	3306
82	300	3318
83	301	3290
84	305	3289
85	311	3305
86	313	3292
87	316	3278
88	321	3288
89	323	3269
90	325	3253
91	328	3243
92	332	3239
93	334	3227
94	339	3231
95	341	3219
96	345	3213
97	358	3300
98	360	3282
99	365	3289
100	368	3276
101	372	3283
102	377	3283
103	381	3285
104	384	3281
105	389	3283
106	392	3273
107	398	3293
108	403	3300
109	405	3279
110	408	3274
111	416	3303
112	419	3292
113	420	3271
114	423	3255
115	424	3235
116	431	3257
117	432	3236
118	438	3245
119	441	3234
120	447	3249
121	451	3249
122	453	3235
123	458	3235
124	460	3224
125	464	3222
126	472	3251
127	475	3237
128	477	3220
129	484	3244
130	489	3244
131	491	3232
132	495	3230
133	499	3226
134	504	3230
135	505	3214
136	511	3220
137	517	3234
138	526	3259
139	534	3283
140	537	3274
141	542	3275
142	549	3290
143	551	3275
144	557	3289
145	563	3294
146	564	3275
147	567	3264
148	570	3261
149	573	3251
150	575	3236
151	576	3218
152	580	3214
153	582	3197
154	587	3205
155	589	3191
156	591	3177
157	593	3165
158	595	3149
159	599	3149
160	603	3143
161	605	3130
162	609	3128
163	611	3115
